,Name,City,State,School Ownership,Number of Undergraduate Students,Share of Female Students,Share of Male Students,Share of Undergraduates Aged 25 and Above,Average Age of Entry,Admission Rate,Completion Rate,Median Earnings of Students 10 Years After Entry,Median Debt for Students Who Have Completed,Share of Students Who Received a Federal Loan,Median Family Income,Average Cost of Attendance,Average Faculty Salary,Net Tuition Revenue per Student
0,University of Phoenix-Arizona,Tempe,AZ,3,77269,0.6972811618,0.3027188382,0.8601,32.0,,0.1433,47100.0,31977.0,0.8428559903,18602.0,20083.0,4485.0,13180
1,Southern New Hampshire University,Manchester,NH,2,68214,0.6766710402,0.3233289598,0.7502,31.0,0.7805,0.488,45400.0,18347.5,0.9295320359,27192.0,49005.0,8012.0,10531
2,University of Central Florida,Orlando,FL,1,56366,0.5891445164,0.4108554836,0.1791,23.0,0.499,0.7001,45400.0,18130.0,0.69814608,31400.0,20950.0,9881.0,5720
3,Texas A & M University-College Station,College Station,TX,1,52568,0.5116777884,0.4883222116,0.0297,20.0,0.7054,0.821,58000.0,18519.5,0.8046552272,58904.0,28143.0,11165.0,10518
4,Miami Dade College,Miami,FL,1,51015,0.581049681,0.418950319,0.2815,22.0,,0.3119,31100.0,8750.0,0.085088334,18391.0,12476.0,7102.0,1729
5,Grand Canyon University,Phoenix,AZ,3,48666,0.743284234,0.256715766,0.5772,31.0,0.6692,0.4075,52700.0,18750.0,0.8791040792,29879.0,31051.0,6482.0,10977
6,Liberty University,Lynchburg,VA,2,45364,0.6439648587,0.3560351413,0.5506,30.0,0.2979,0.4697,36700.0,24483.0,0.8642093201,31696.0,37388.0,5682.0,11353
7,Ohio State University-Main Campus,Columbus,OH,1,44853,0.5203439089,0.47965609109999996,0.0741,20.0,0.4806,0.8264,46100.0,21500.0,0.8563816905,64713.0,25498.0,12153.0,15068
8,University of Maryland-University College,Adelphi,MD,1,42289,0.5443589096,0.4556410904,0.7566,29.0,,0.0881,51200.0,18215.0,0.555906108,30322.0,18719.0,6279.0,8545
9,Arizona State University-Tempe,Tempe,AZ,1,42181,0.5568306611,0.4431693389,0.1063,24.0,0.8415,0.6335,47700.0,20000.0,0.7940918076,35851.0,24353.0,11348.0,18995
10,Florida International University,Miami,FL,1,41834,0.6069360848,0.39306391519999995,0.2369,23.0,0.5407,0.5662,46300.0,17250.0,0.5978217254,23924.0,19055.0,10225.0,6406
11,Pennsylvania State University-Main Campus,University Park,PA,1,40553,0.5012260053,0.49877399469999995,0.0186,21.0,0.5031,0.8481,50100.0,26120.0,0.9024450049,61924.0,35518.0,11211.0,27265
12,The University of Texas at Austin,Austin,TX,1,39965,0.5606045134,0.43939548660000005,0.0341,20.0,0.3649,0.8285,58200.0,21500.0,0.8165015828,53018.0,24933.0,12476.0,10026
13,Michigan State University,East Lansing,MI,1,38770,0.5534790109,0.44652098910000004,0.0295,19.0,0.7155,0.7934,53600.0,25200.0,0.8943837454,70982.0,27006.0,11705.0,18994
14,Valencia College,Orlando,FL,1,37954,0.5756013746,0.42439862539999995,0.2499,22.0,,0.4134,32600.0,8000.0,0.3771232204,23247.0,10712.0,6551.0,2301
15,University of Houston,Houston,TX,1,35985,0.5257100149,0.4742899851,0.1642,22.0,0.6111,0.5368,51600.0,19250.0,0.7302690583,33197.0,24678.0,11419.0,10427
16,California State University-Northridge,Northridge,CA,1,35620,0.5794554799,0.4205445201,0.2046,22.0,0.5765,0.5127,45400.0,13833.0,0.4802055841,22839.0,15960.0,9744.0,5271
17,Rutgers University-New Brunswick,New Brunswick,NJ,1,35296,0.5539444444,0.4460555556,0.0762,21.0,0.578,0.8007,57900.0,22250.0,0.8429444444,43359.0,29550.0,11822.0,13487
18,Broward College,Fort Lauderdale,FL,1,35127,0.5896134839,0.4103865161,0.3412,24.0,,0.3047,34900.0,3500.0,0.2242763855,20743.0,13717.0,6719.0,1671
19,California State University-Fullerton,Fullerton,CA,1,35045,0.5980079371,0.4019920629,0.1948,22.0,0.4572,0.6624,47200.0,14804.0,0.4798070189,28124.0,17529.0,9747.0,5693
20,Brigham Young University-Idaho,Rexburg,ID,2,35038,0.5382646064,0.46173539360000004,0.4783,23.0,0.9479,0.595,42700.0,11000.0,0.5401846942,42100.0,11833.0,9093.0,2509
21,Texas State University,San Marcos,TX,1,34180,0.6008479288,0.39915207119999996,0.1138,21.0,0.7298,0.5394,45700.0,20775.5,0.8721851543,42889.0,21383.0,7960.0,8234
22,University of Florida,Gainesville,FL,1,33655,0.5937902879,0.4062097121,0.0388,21.0,0.4201,0.8803,56000.0,16195.5,0.6570691878,39127.0,21164.0,11746.0,8834
23,University of Arizona,Tucson,AZ,1,33428,0.5628539071,0.43714609289999995,0.0913,21.0,0.8358,0.6361,47300.0,19000.0,0.7928390975,43043.0,26080.0,10928.0,15765
24,Indiana University-Bloomington,Bloomington,IN,1,33104,0.5315707274,0.4684292726,0.0231,19.0,0.7601,0.7733,47700.0,21500.0,0.8466086568,75001.0,24739.0,10390.0,17398
25,The University of Texas at Arlington,Arlington,TX,1,32955,0.6641992791,0.3358007209,0.4695,27.0,0.7122,0.4998,48700.0,17750.0,0.7766477858,36453.0,21154.0,9371.0,7432
26,University of Illinois at Urbana-Champaign,Champaign,IL,1,32884,0.4948371724,0.5051628276,0.0168,19.0,0.6153,0.8503,61500.0,20127.0,0.8666742312,62485.0,30064.0,12166.0,14814
27,Florida State University,Tallahassee,FL,1,32614,0.5844654153,0.41553458470000004,0.0483,20.0,0.4919,0.8017,46400.0,20250.0,0.7457222856,43729.0,22426.0,10893.0,6237
28,The University of Alabama,Tuscaloosa,AL,1,32387,0.6152524168,0.3847475832,0.0725,21.0,0.533,0.6787,44500.0,23290.0,0.9107411386,66733.0,28836.0,10016.0,13574
29,Kennesaw State University,Kennesaw,GA,1,32309,0.4741253897,0.5258746103,0.1951,22.0,0.6063,0.4174,,20375.0,0.8300658123,43182.0,23919.0,7099.0,6409
30,Purdue University-Main Campus,West Lafayette,IN,1,31887,0.4732072498,0.5267927502,0.0382,19.0,0.5747,0.7836,55100.0,20428.0,0.7990543735,81833.0,22718.0,12150.0,16418
31,University of Minnesota-Twin Cities,Minneapolis,MN,1,31535,0.5593906672,0.44060933280000003,0.0856,20.0,0.4959,0.801,51900.0,20000.0,0.8768800617,76028.0,25790.0,11759.0,13355
32,University of North Texas,Denton,TX,1,31448,0.5485318429,0.4514681571,0.1543,22.0,0.7241,0.5431,45000.0,20000.0,0.8319294655,40028.0,21907.0,10813.0,9511
33,California State University-Long Beach,Long Beach,CA,1,31402,0.5901544561,0.40984554390000005,0.1742,22.0,0.2799,0.6874,48100.0,15000.0,0.5494342116,26465.0,18104.0,9865.0,4920
34,Brigham Young University-Provo,Provo,UT,2,31233,0.4795278495,0.5204721505000001,0.1195,21.0,0.524,0.827,59700.0,10802.5,0.4741792696,46790.0,17801.0,10712.0,5755
35,Ashford University,San Diego,CA,3,31046,0.7799183785,0.2200816215,0.8758,33.0,,0.0765,41200.0,33349.5,0.8621326463,17066.0,23057.0,6401.0,13062
36,University of California-Los Angeles,Los Angeles,CA,1,30994,0.6031569586,0.39684304140000004,0.0488,21.0,0.161,0.9087,60700.0,15000.0,0.7162072032,32613.0,33751.0,17629.0,18313
37,University of South Florida-Main Campus,Tampa,FL,1,30918,0.605735746,0.394264254,0.1854,22.0,0.4536,0.7092,43500.0,18750.0,0.7141686582,32495.0,19868.0,10030.0,7059
38,University of California-Berkeley,Berkeley,CA,1,30574,0.5464962539,0.4535037461,0.0552,21.0,0.1711,0.9107,64700.0,13200.0,0.6641692375,31227.0,36172.0,16679.0,20277
39,Texas Tech University,Lubbock,TX,1,30330,0.4967522425,0.5032477575000001,0.0949,21.0,0.6918,0.5928,51400.0,22102.0,0.8611197031,51321.0,22615.0,8928.0,9263
40,University of Washington-Seattle Campus,Seattle,WA,1,30295,0.5746355424,0.42536445759999997,0.0816,22.0,0.4642,0.8439,57700.0,15000.0,0.7133530096,39205.0,25360.0,12625.0,17222
41,Iowa State University,Ames,IA,1,30116,0.4624236966,0.5375763034000001,0.0449,20.0,0.8934,0.7343,50700.0,23256.0,0.9072350645,76488.0,19878.0,10857.0,10357
42,University of California-Davis,Davis,CA,1,30046,0.6267241379,0.37327586209999997,0.0603,21.0,0.4336,0.8519,58200.0,14000.0,0.7363146552,33783.0,34435.0,14048.0,15911
43,University of Wisconsin-Madison,Madison,WI,1,29930,0.5311327832,0.4688672168,0.0449,20.0,0.5381,0.8723,56200.0,22241.0,0.8415603901,92428.0,25121.0,11908.0,13132
44,San Diego State University,San Diego,CA,1,29781,0.5842020419,0.4157979581,0.1359,22.0,0.3542,0.7424,51000.0,15000.0,0.5983879635,32530.0,21051.0,10605.0,6887
45,University of Michigan-Ann Arbor,Ann Arbor,MI,1,29550,0.5349348406,0.46506515940000004,0.0159,20.0,0.265,0.9159,63400.0,19153.0,0.7965143665,65045.0,28652.0,11258.0,23581
46,University of California-Irvine,Irvine,CA,1,29295,0.5660897365,0.43391026349999995,0.0464,20.0,0.3651,0.8488,58400.0,16500.0,0.6933083453,34735.0,31976.0,14989.0,15149
47,University of Maryland-College Park,College Park,MD,1,29273,0.508934661,0.49106533900000005,0.0643,20.0,0.445,0.8529,62900.0,19500.0,0.8023462011,67353.0,25701.0,13017.0,14270
48,Temple University,Philadelphia,PA,1,29037,0.550251859,0.44974814100000005,0.1046,21.0,0.5667,0.7102,50500.0,25500.0,0.9404333573,59850.0,31599.0,10798.0,22122
49,College of Southern Nevada,Las Vegas,NV,1,28959,0.6147236222,0.3852763778,0.3783,25.0,,0.0864,32300.0,9636.0,0.3918863092,22219.0,11628.0,7075.0,2461
50,University of Georgia,Athens,GA,1,28740,0.5743758213,0.4256241787,0.0286,20.0,0.5401,0.8527,50500.0,18750.0,0.8344283837,64178.0,26022.0,11126.0,12088
51,University of California-San Diego,La Jolla,CA,1,28577,0.5198560768,0.4801439232,0.0562,20.0,0.3399,0.8452,59900.0,17500.0,0.7414712154,35914.0,31794.0,14740.0,17287
52,University of Colorado Boulder,Boulder,CO,1,28565,0.4815162907,0.5184837093,0.0575,20.0,0.7984,0.6881,50800.0,19500.0,0.8687343358,70221.0,29215.0,8487.0,19631
53,California State University-Sacramento,Sacramento,CA,1,28410,0.5933941764,0.40660582359999997,0.2271,23.0,0.6776,0.4807,48900.0,15250.0,0.5322903086,27217.0,18989.0,9477.0,5078
54,San Jose State University,San Jose,CA,1,27591,0.521976626,0.47802337399999995,0.1787,22.0,0.6688,0.5675,56100.0,15000.0,0.5950203252,29408.0,23030.0,10325.0,7511
55,Utah Valley University,Orem,UT,1,27428,0.47188775,0.52811225,0.2421,23.0,,0.298,43800.0,14500.0,0.5676186685,31983.0,13138.0,7897.0,5150
56,Virginia Polytechnic Institute and State University,Blacksburg,VA,1,27120,0.4649326521,0.5350673479,0.0209,19.0,0.7006,0.844,62500.0,23250.0,0.9058677814,89378.0,25762.0,11374.0,13777
57,Northern Arizona University,Flagstaff,AZ,1,26974,0.6385814497,0.36141855030000003,0.1949,24.0,0.8085,0.5529,40100.0,19500.0,0.7918160561,41212.0,26314.0,8239.0,8015
58,Palm Beach State College,Lake Worth,FL,1,26335,0.5921297078,0.40787029220000004,0.302,23.0,,0.333,33300.0,5475.0,0.1736193211,21408.0,9659.0,6334.0,1937
59,New York University,New York,NY,2,26055,0.6113892365,0.3886107635,0.0445,20.0,0.2766,0.8354,61900.0,22900.0,0.8459011264,51965.0,67865.0,13719.0,35390
60,San Francisco State University,San Francisco,CA,1,25966,0.5840236686,0.4159763314,0.1843,22.0,0.7046,0.5359,49200.0,16711.5,0.6043392505,27895.0,22313.0,10411.0,5230
61,The University of Texas at San Antonio,San Antonio,TX,1,25709,0.5416743841,0.4583256159,0.1534,21.0,0.7946,0.3666,45300.0,21989.5,0.7685682534,36359.0,19906.0,9261.0,7672
62,University of South Carolina-Columbia,Columbia,SC,1,25550,0.5560063937,0.44399360629999995,0.0557,20.0,0.7231,0.7502,44900.0,23000.0,0.9092585762,74190.0,26079.0,10697.0,13184
63,University of Cincinnati-Main Campus,Cincinnati,OH,1,25523,0.5598467922,0.4401532078,0.1235,22.0,0.7649,0.6886,42300.0,22500.0,0.8730450048,57821.0,26829.0,9708.0,13004
64,Georgia State University,Atlanta,GA,1,25031,0.6300794494,0.36992055059999995,0.1827,23.0,0.6985,0.5347,43300.0,22206.5,0.6950053135,27922.0,24857.0,8775.0,7672
65,Oregon State University,Corvallis,OR,1,24921,0.5083557321,0.49164426790000004,0.2167,23.0,0.7884,0.6534,49600.0,23393.0,0.8601145261,44450.0,26121.0,9735.0,11691
66,St Petersburg College,Clearwater,FL,1,24824,0.6171915782,0.38280842179999996,0.4798,26.0,,0.2858,32900.0,15474.0,0.5388028537,22640.0,12040.0,6937.0,2146
67,Washington State University,Pullman,WA,1,24797,0.5742963356,0.42570366439999996,0.1569,22.0,0.7306,0.6244,50600.0,20348.5,0.8267657993,44850.0,25433.0,9792.0,10066
68,University of Nevada-Las Vegas,Las Vegas,NV,1,24783,0.5966262878,0.40337371219999996,0.2334,22.0,0.8107,0.4157,45000.0,18500.0,0.6346654591,34261.0,16964.0,10544.0,7181
69,California State University-Los Angeles,Los Angeles,CA,1,24780,0.6057798555,0.3942201445,0.2519,23.0,0.4645,0.4713,46100.0,12500.0,0.4243943901,22032.0,13612.0,9575.0,3898
70,George Mason University,Fairfax,VA,1,24395,0.557201846,0.442798154,0.2022,22.0,0.8132,0.7086,59900.0,19500.0,0.8360456643,44254.0,25196.0,11045.0,11746
71,Arizona State University-Skysong,Scottsdale,AZ,1,24244,0.5568306611,0.4431693389,0.6429,24.0,0.6342,0.1389,47700.0,20000.0,0.7940918076,35851.0,21570.0,8577.0,3477
72,California State Polytechnic University-Pomona,Pomona,CA,1,24205,0.4947096457,0.5052903543,0.1651,22.0,0.5507,0.6593,54000.0,18500.0,0.5361712598,29032.0,21137.0,10273.0,4875
73,The University of Texas Rio Grande Valley,Edinburg,TX,1,24142,0.5758743754,0.42412562460000003,0.1634,22.0,0.8048,0.4481,41900.0,10054.0,0.4748750892,21058.0,13401.0,7573.0,4479
74,Colorado State University-Fort Collins,Fort Collins,CO,1,23804,0.5496754868,0.4503245132,0.1031,21.0,0.8262,0.686,47100.0,20502.0,0.8740639041,63463.0,24290.0,9688.0,15189
75,Florida Atlantic University,Boca Raton,FL,1,23748,0.6122837041,0.3877162959,0.2374,23.0,0.6001,0.512,43200.0,16800.0,0.6684730937,28064.0,18593.0,8999.0,6197
76,University of North Carolina at Charlotte,Charlotte,NC,1,23622,0.5223081499,0.47769185010000004,0.1474,22.0,0.6584,0.5398,44000.0,22500.0,0.845131866,44089.0,21882.0,9615.0,8060
77,University of Missouri-Columbia,Columbia,MO,1,23455,0.5432424917,0.45675750829999995,0.0392,20.0,0.7809,0.6823,48300.0,22000.0,0.8918242492,76951.0,25656.0,9334.0,11279
78,University of Utah,Salt Lake City,UT,1,23402,0.5055296857,0.4944703143,0.2319,23.0,0.6615,0.674,53000.0,15000.0,0.7488358556,38625.0,19406.0,9781.0,11482
79,Auburn University,Auburn,AL,1,23391,0.531504671,0.468495329,0.0377,20.0,0.8393,0.7658,48800.0,21500.0,0.887696283,72031.0,30458.0,10137.0,15479
80,University of Iowa,Iowa City,IA,1,23349,0.5623043206,0.4376956794,0.0759,20.0,0.8604,0.7354,51900.0,21500.0,0.9014402004,72993.0,21875.0,11124.0,13700
81,Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,1,23331,0.5727889193,0.4272110807,0.0496,20.0,0.7392,0.6665,50100.0,20999.5,0.7991631799,55214.0,27612.0,9922.0,11816
82,University of Massachusetts-Amherst,Amherst,MA,1,23010,0.515474436,0.484525564,0.0776,21.0,0.5758,0.7718,51400.0,23450.5,0.9358349393,74291.0,29172.0,12386.0,12740
83,Ohio University-Main Campus,Athens,OH,1,22936,0.634900623,0.36509937699999995,0.2397,23.0,0.7393,0.6408,40500.0,20072.0,0.8688816375,58609.0,26233.0,8978.0,11250
84,North Carolina State University at Raleigh,Raleigh,NC,1,22801,0.4999182873,0.5000817127,0.0751,20.0,0.5136,0.7864,52500.0,20714.0,0.8571662036,64900.0,22844.0,10808.0,10308
85,University of Arkansas,Fayetteville,AR,1,22763,0.5588193956,0.44118060439999995,0.0858,21.0,0.6596,0.6152,44900.0,21500.0,0.8698524245,64201.0,22122.0,9671.0,9281
86,East Carolina University,Greenville,NC,1,22598,0.5933969508,0.4066030492,0.1452,21.0,0.7902,0.6214,40500.0,24442.0,0.8811012394,51027.0,21102.0,8754.0,7422
87,Kent State University at Kent,Kent,OH,1,22403,0.6364963504,0.36350364960000003,0.1101,21.0,0.8751,0.577,38000.0,25246.5,0.8863399374,50411.0,24064.0,8972.0,9987
88,Virginia Commonwealth University,Richmond,VA,1,22393,0.6243783971,0.3756216029,0.1326,21.0,0.839,0.6255,44000.0,23250.0,0.9005435411,51128.0,29339.0,9138.0,11950
89,University of California-Santa Barbara,Santa Barbara,CA,1,22181,0.5778541309,0.42214586909999996,0.0293,20.0,0.3281,0.8149,55300.0,16300.0,0.7465250664,36166.0,34990.0,15263.0,14893
90,The University of Tennessee-Knoxville,Knoxville,TN,1,22151,0.5301943394,0.46980566059999995,0.0641,20.0,0.7697,0.7023,45100.0,20500.0,0.8220946915,54206.0,30226.0,10893.0,11570
91,Colorado Technical University-Colorado Springs,Colorado Springs,CO,3,22129,0.6500040674,0.34999593259999995,0.8713,33.0,,0.2553,42200.0,31710.5,0.8699259741,14687.0,23812.0,7496.0,14061
92,University of Kentucky,Lexington,KY,1,22078,0.5687747036,0.43122529639999996,0.0671,20.0,0.9577,0.6505,45100.0,23000.0,0.8898550725,61931.0,27215.0,10644.0,12543
93,California State University-Fresno,Fresno,CA,1,21877,0.6211972522,0.3788027478,0.1557,22.0,0.5941,0.556,44700.0,14367.0,0.4155490132,27059.0,16205.0,9208.0,3860
94,Grand Valley State University,Allendale,MI,1,21837,0.6112349009,0.3887650991,0.0777,20.0,0.809,0.6526,42800.0,24843.0,0.9196669403,63788.0,22276.0,6867.0,11481
95,West Virginia University,Morgantown,WV,1,21703,0.5012559027,0.4987440973,0.0557,20.0,0.719,0.5676,45800.0,23688.5,0.873605948,60096.0,20702.0,9761.0,13260
96,University of Oklahoma-Norman Campus,Norman,OK,1,21536,0.5573545135,0.4426454865,0.1014,22.0,0.74,0.6727,51100.0,20000.0,0.8385520086,50976.0,27205.0,9475.0,12648
97,Utah State University,Logan,UT,1,21473,0.5495908753,0.45040912470000005,0.1853,23.0,0.8908,0.4978,43200.0,13491.0,0.6569551203,42950.0,17671.0,9058.0,6286
98,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,1,21303,0.5029626253,0.4970373747,0.0284,20.0,0.3461,0.7914,66900.0,18631.0,0.82976299,74513.0,25960.0,10006.0,8972
99,The University of Texas at El Paso,El Paso,TX,1,21216,0.5511453605,0.44885463950000004,0.2318,22.0,1.0,0.4064,40000.0,17075.0,0.5369998944,23733.0,16033.0,8902.0,5847
100,University of Nebraska-Lincoln,Lincoln,NE,1,20954,0.5250610369,0.47493896309999994,0.0501,20.0,0.6438,0.6795,46400.0,21787.5,0.8637081718,71878.0,23278.0,10762.0,9764
101,Indiana University-Purdue University-Indianapolis,Indianapolis,IN,1,20870,0.609940853,0.390059147,0.1877,22.0,0.7965,0.4499,42500.0,22667.5,0.7795994604,45002.0,20352.0,8369.0,11325
102,Oklahoma State University-Main Campus,Stillwater,OK,1,20743,0.5257599543,0.4742400457,0.1008,21.0,0.7428,0.6199,46500.0,20750.0,0.8133295276,48983.0,22868.0,8930.0,10258
103,University at Buffalo,Buffalo,NY,1,20735,0.427613941,0.5723860590000001,0.0674,20.0,0.5734,0.7528,52600.0,19500.0,0.8587618816,46678.0,24198.0,10140.0,10081
104,University of California-Riverside,Riverside,CA,1,20044,0.5768869034,0.42311309659999996,0.0457,20.0,0.5723,0.7505,49700.0,19000.0,0.7067952034,35809.0,32308.0,12934.0,12938
105,James Madison University,Harrisonburg,VA,1,19666,0.6132253203,0.3867746797,0.0287,20.0,0.752,0.8258,56600.0,20500.0,0.8993971364,92165.0,24750.0,8772.0,9935
106,South Texas College,McAllen,TX,1,19452,0.5448604733,0.4551395267,0.0946,22.0,,0.1504,30300.0,,,17577.0,6787.0,6387.0,1078
107,University of Wisconsin-Milwaukee,Milwaukee,WI,1,19436,0.56415828,0.43584172,0.2051,22.0,0.7248,0.4148,44200.0,24348.0,0.8823193047,50518.0,21701.0,8426.0,8765
108,Towson University,Towson,MD,1,19367,0.6269697392,0.3730302608,0.1145,21.0,0.773,0.7172,50800.0,17750.0,0.8560870172,59362.0,23929.0,7339.0,6901
109,Old Dominion University,Norfolk,VA,1,19364,0.6019766397,0.39802336029999996,0.2669,23.0,0.8572,0.544,43700.0,23750.0,0.8692722372,38019.0,23250.0,8400.0,7203
110,Clemson University,Clemson,SC,1,19172,0.5037093399,0.4962906601,0.0356,20.0,0.4718,0.821,52400.0,21500.0,0.911736732,78377.0,28545.0,10255.0,16723
111,University of Oregon,Eugene,OR,1,19163,0.581754386,0.41824561400000004,0.0685,21.0,0.8281,0.72,44800.0,20500.0,0.850877193,51607.0,24570.0,9889.0,16389
112,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,1,19134,0.529968119,0.47003188100000004,0.0549,20.0,0.5971,0.8249,53900.0,26899.0,0.9472901169,81308.0,32633.0,10721.0,17855
113,University of Illinois at Chicago,Chicago,IL,1,19106,0.5284502121,0.4715497879,0.0955,21.0,0.7708,0.5657,54300.0,18114.5,0.6221612179,33725.0,25445.0,11177.0,12918
114,Metropolitan State University of Denver,Denver,CO,1,18968,0.5682625199,0.4317374801,0.3963,25.0,0.6427,0.2829,40200.0,22877.5,0.7563364761,32101.0,18550.0,6673.0,7097
115,University of Delaware,Newark,DE,1,18948,0.585467128,0.414532872,0.0377,19.0,0.6289,0.8235,57000.0,24250.0,0.9328719723,107127.0,25210.0,12616.0,19072
116,University of Southern California,Los Angeles,CA,2,18942,0.5540647198,0.44593528019999995,0.0326,20.0,0.1595,0.9171,74000.0,22120.0,0.8437253354,45149.0,69547.0,14389.0,34888
117,University of Connecticut,Storrs,CT,1,18930,0.5309655084,0.4690344916,0.0296,20.0,0.4784,0.8285,58400.0,21500.0,0.8510065393,67737.0,29803.0,11972.0,14073
118,University of New Mexico-Main Campus,Albuquerque,NM,1,18912,0.5832672931,0.41673270689999997,0.2411,23.0,0.6704,0.4868,36400.0,19203.0,0.523151817,27972.0,18937.0,8954.0,5545
119,University of Kansas,Lawrence,KS,1,18903,0.547597184,0.452402816,0.0885,21.0,0.9338,0.6308,48800.0,20500.0,0.8939393939,64240.0,24824.0,9976.0,12206
120,Florida State College at Jacksonville,Jacksonville,FL,1,18789,0.6176030763,0.3823969237,0.4362,25.0,,0.351,31900.0,10674.0,0.4525742363,25081.0,8738.0,6145.0,2033
121,University of North Carolina at Chapel Hill,Chapel Hill,NC,1,18658,0.6196397942,0.38036020579999996,0.0308,20.0,0.244,0.9087,55600.0,16661.0,0.6929674099,58193.0,24872.0,12555.0,14775
122,Middle Tennessee State University,Murfreesboro,TN,1,18600,0.5808518658,0.41914813419999997,0.1911,22.0,0.5935,0.4401,38700.0,21500.0,0.7968337731,35325.0,20405.0,7349.0,6909
123,Portland State University,Portland,OR,1,18585,0.5823633157,0.4176366843,0.3657,25.0,0.9244,0.4894,44700.0,21969.0,0.8105820106,25986.0,19170.0,9173.0,9208
124,University of Mississippi,University,MS,1,18537,0.608056266,0.39194373400000004,0.0683,21.0,0.8391,0.6007,42700.0,19500.0,0.8625319693,47087.0,23606.0,8985.0,10716
125,Sam Houston State University,Huntsville,TX,1,18416,0.6614142466,0.33858575339999997,0.1642,22.0,0.7439,0.5127,44600.0,21250.0,0.8421669488,37602.0,20791.0,7577.0,8572
126,The University of Texas at Dallas,Richardson,TX,1,18375,0.4620796156,0.5379203844,0.1772,22.0,0.7603,0.6917,53100.0,18000.0,0.711050103,36564.0,24154.0,12831.0,11493
127,Illinois State University,Normal,IL,1,18264,0.5624349636,0.4375650364,0.0444,20.0,0.8913,0.6881,47100.0,21250.0,0.9153225806,67099.0,28197.0,7979.0,11552
128,Kansas State University,Manhattan,KS,1,18171,0.5208711434,0.47912885660000004,0.0901,21.0,0.9412,0.6266,45600.0,22500.0,0.8947368421,67000.0,23262.0,9055.0,11305
129,California State University-San Bernardino,San Bernardino,CA,1,18088,0.6247122956,0.37528770440000003,0.1974,22.0,0.5713,0.5416,44500.0,15000.0,0.4672319806,25849.0,18202.0,9564.0,3881
130,University of Nevada-Reno,Reno,NV,1,17930,0.5637824897,0.4362175103,0.1115,21.0,0.8803,0.5499,47000.0,18280.0,0.7539329685,48103.0,21142.0,9979.0,7137
131,Mississippi State University,Mississippi State,MS,1,17723,0.5395308427,0.46046915730000004,0.0905,21.0,0.624,0.579,40200.0,23000.0,0.8569359977,38988.0,23483.0,8569.0,7794
132,Western Michigan University,Kalamazoo,MI,1,17704,0.5443729003,0.45562709970000004,0.1209,21.0,0.8232,0.5082,45000.0,26364.0,0.9140537514,51033.0,24032.0,9751.0,12351
133,University of California-Santa Cruz,Santa Cruz,CA,1,17577,0.5430579965,0.4569420035,0.0478,20.0,0.5094,0.7721,46900.0,19700.0,0.8173989455,42014.0,35315.0,14354.0,13640
134,Central Michigan University,Mount Pleasant,MI,1,17489,0.592287234,0.40771276599999995,0.1152,21.0,0.6775,0.5836,41900.0,27000.0,0.9321808511,57838.0,23328.0,9030.0,10425
135,Missouri State University-Springfield,Springfield,MO,1,17371,0.6103059581,0.3896940419,0.1096,21.0,0.8404,0.5491,39300.0,22424.0,0.8586956522,48636.0,20482.0,7400.0,6689
136,Stony Brook University,Stony Brook,NY,1,17215,0.5101557211,0.48984427890000004,0.0734,21.0,0.4219,0.7181,57600.0,18960.0,0.7814827353,36504.0,23915.0,11275.0,10752
137,University of North Georgia,Dahlonega,GA,1,17067,0.5747065101,0.42529348990000004,0.1237,21.0,0.7807,0.286,41900.0,17500.0,0.6430096051,44262.0,15405.0,5922.0,4939
138,Georgia Southern University,Statesboro,GA,1,17062,0.5293563156,0.47064368440000004,0.0715,20.0,0.6829,0.4994,41900.0,23250.0,0.8899811473,49236.0,22467.0,6880.0,6087
139,Weber State University,Ogden,UT,1,16947,0.5842472582,0.4157527418,0.2548,24.0,,0.3349,44500.0,14371.0,0.5925556663,35841.0,15054.0,7802.0,4869
140,Appalachian State University,Boone,NC,1,16888,0.5749588138,0.4250411862,0.0692,21.0,0.7,0.7344,38800.0,20242.0,0.8476112026,56100.0,18920.0,8355.0,6679
141,Full Sail University,Winter Park,FL,3,16859,0.2702686203,0.7297313797,0.5042,25.0,,0.2654,39300.0,28756.0,0.9137362637,21349.0,33638.0,4490.0,14119
142,Miami University-Oxford,Oxford,OH,1,16816,0.541991342,0.458008658,0.0174,20.0,0.682,0.7914,47100.0,23951.5,0.8813852814,79777.0,30420.0,9395.0,18027
143,Wayne State University,Detroit,MI,1,16768,0.5950972105,0.4049027895,0.2196,23.0,0.6741,0.4656,40800.0,22899.0,0.7965624119,28605.0,22771.0,10403.0,11150
144,Boston University,Boston,MA,2,16716,0.6546625328,0.3453374672,0.066,19.0,0.2511,0.8713,65300.0,25625.0,0.9422847603,81244.0,67879.0,13657.0,31947
145,Montclair State University,Montclair,NJ,1,16673,0.6262893414,0.37371065859999997,0.1151,21.0,0.7066,0.6533,49600.0,23000.0,0.8233271621,40178.0,25517.0,9933.0,9372
146,Keiser University-Ft Lauderdale,Fort Lauderdale,FL,2,16625,0.7434210526,0.2565789474,0.6415,28.0,,0.5882,31100.0,25702.0,0.9069632045,21659.0,33544.0,5211.0,13065
